"Qty","Description","Value","Link","Alt Link"
"2","AA battery holder","","https://www.amazon.com/gp/product/B09V6YGCFZ/","https://www.amazon.com/gp/product/B0D8BBHR74/"
"1","2x10 2.54mm ribbon cable","","https://www.amazon.com/gp/product/B01MT921QT/",""
"2","2x10-pin 2.54mm header","Conn_02x10","https://www.amazon.com/gp/product/B0107299C0/","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61202021621/2060592"
"1","2-pin 2.54mm header","Conn_01x02_Pin","https://www.amazon.com/gp/product/B0C6PM9KGY/",""
"1","2-pin 2.54mm socket","Conn_01x02_Socket","https://www.amazon.com/gp/product/B0C6PM9KGY/",""
"1","4-pin 2.54mm header","Conn_01x04_Pin","https://www.amazon.com/gp/product/B0C6PM9KGY/",""
"1","4-pin 2.54mm socket","Conn_01x04_Socket","https://www.amazon.com/gp/product/B0C6PM9KGY/",""
"16","Bicolor bidirectional 5mm LED (2.54mm lead spacing)","LED_Dual_Bidir","https://www.amazon.com/gp/product/B07WTCB6H6/","https://www.digikey.com/en/products/detail/liteon/LTL-293SJW/121782"
"16","DPDT on/on toggle switch","SW_DPDT","https://www.amazon.com/gp/product/B0799KM8T6/",""
"16","68 ohm resistor (6.5mm max length)","68R","https://www.amazon.com/gp/product/B08QRS9G6B/","https://www.digikey.com/en/products/detail/yageo/MFR-25FRF52-68R/9139105"
"36","10K ohm resistor (6.5mm max length)","10K","https://www.amazon.com/gp/product/B08QRJZ82J/","https://www.digikey.com/en/products/detail/yageo/MFR-25FRF52-10K/14626"
"1","Optional resistor (6.5mm max length)","Shunt","",""
"17","10K ohm RV09 potentiometer","10K","https://www.amazon.com/gp/product/B0F1YB1TB6/","https://www.digikey.com/en/products/detail/bourns-inc/PTV09A-4225S-B103/3820587"
"17","6mm potentiometer knob","","https://www.amazon.com/gp/product/B099F4X4Q9/","https://www.amazon.com/gp/product/B094YZWRYL/"
"1","DC micro-ammeter 100uA-0-100uA","","https://www.aliexpress.us/item/3256806998543963.html","https://www.ebay.com/itm/172934983437"
"","Hook-up wire","","https://www.amazon.com/gp/product/B089CQHRDT/",""
